Niveau,Structure_hierarchique,Code,Titres_de_classes,Definitions_de_la_classe
4,Sous-classe (Domaine),RDF3010415,Neurodéveloppement,Cette sous-classe comprend la recherche et le développement expérimental en neurodéveloppement.
4,Sous-classe (Domaine),RDF3010416,Neuro-inflammation,Cette sous-classe comprend la recherche et le développement expérimental en neuro-inflammation.
4,Sous-classe (Domaine),RDF3010417,"Neurogenèse et plasticité, aspects médicaux et de la santé","Cette sous-classe comprend la recherche et le développement expérimental en nurogenèse et plasticité, aspects médicaux et de la santé."
4,Sous-classe (Domaine),RDF3010418,Étude des cellules gliales,Cette sous-classe comprend la recherche et le développement expérimental en étude des cellules gliales.
4,Sous-classe (Domaine),RDF3010419,Troubles neurologiques (sauf les maladies neuromusculaires),Cette sous-classe comprend la recherche et le développement expérimental en troubles neurologiques (sauf les maladies neuromusculaires).
4,Sous-classe (Domaine),RDF3010420,Neurorobotique,Cette sous-classe comprend la recherche et le développement expérimental en neurorobotique.
4,Sous-classe (Domaine),RDF3010421,Neuroéthologie,Cette sous-classe comprend la recherche et le développement expérimental en neuroéthologie.
4,Sous-classe (Domaine),RDF3010422,Neuropsychologie,Cette sous-classe comprend la recherche et le développement expérimental en neuropsychologie.
4,Sous-classe (Domaine),RDF3010423,Neurologie comportementale appliquée et neuropsychiatrie,Cette sous-classe comprend la recherche et le développement expérimental en neurologie comportementale appliquée et neuropsychiatrie.
4,Sous-classe (Domaine),RDF3010424,Biologie de la dépendance,Cette sous-classe comprend la recherche et le développement expérimental en biologie de la dépendance.
4,Sous-classe (Domaine),RDF3010499,"Neurosciences, aspects médicaux, physiologiques, et de la santé, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en neurosciences, aspects médicaux, physiologiques, et de la santé, n.c.a."
3,Classe,RDF30105,Pharmacologie et sciences pharmaceutiques (sauf les aspects cliniques),"Cette classe comprend la recherche et le développement expérimental en pharmacologie et sciences pharmaceutiques, sauf les aspects cliniques."
4,Sous-classe (Domaine),RDF3010501,Pharmacologie fondamentale,Cette sous-classe comprend la recherche et le développement expérimental en pharmacologie fondamentale.
4,Sous-classe (Domaine),RDF3010502,Pharmacogénomique,Cette sous-classe comprend la recherche et le développement expérimental en pharmacogénomique.
4,Sous-classe (Domaine),RDF3010503,Toxicologie (sauf la toxicologie clinique),"Cette sous-classe comprend la recherche et le développement expérimental en toxicologie, sauf la toxicologie clinique."
4,Sous-classe (Domaine),RDF3010504,"Découverte, conception et administration de médicaments","Cette sous-classe comprend la recherche et le développement expérimental en découverte, conception et administration de médicaments."
4,Sous-classe (Domaine),RDF3010505,Psychopharmacologie,Cette sous-classe comprend la recherche et le développement expérimental en psychopharmacologie.
4,Sous-classe (Domaine),RDF3010599,"Pharmacologie et sciences pharmaceutiques, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en pharmacologie et sciences pharmaceutiques, n.c.a."
3,Classe,RDF30106,Physiologie humaine,Cette classe comprend la recherche et le développement expérimental en physiologie humaine.
4,Sous-classe (Domaine),RDF3010601,Physiologie des systèmes,Cette sous-classe comprend la recherche et le développement expérimental en physiologie des systèmes.
