Niveau,Code,Titres_de_classes,Nom_du_type_d_element_Francais,Description_d_element_Francais
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),soins infirmiers en santé mentale  (Voir RDF3030605 Soins infirmiers en santé mentale)
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),réadaptation en santé mentale  (Voir RDF3030305 Réadaptation en santé mentale)
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),neuropsychologie  (Voir RDF3010422 Neuropsychologie)
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),"psychologie philosophique, psychologie morale et psychologie par l'action  (Voir RDF6030109 Psychologie philosophique (y compris la psychologie morale et la philosophie de l'action))"
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),psychiatrie et psychothérapie  (Voir RDF3020223 Psychiatrie (y compris la psychothérapie))
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),psychologie associée à la criminologie  (Voir RDF50902 Criminologie)
4,RDF5010107,"Identité sexuelle, attraction sexuelle et comportement sexuel",Exclusion(s),psychologie du genre  (Voir RDF5010106 Psychologie du genre)
4,RDF5010109,Psychologie clinique,Exclusion(s),psychologie clinique de l'enfant  (Voir RDF5010112 Psychologie clinique de l'enfant)
4,RDF5010109,Psychologie clinique,Exclusion(s),psychologie de l'orientation  (Voir RDF5010110 Psychologie de l'orientation)
4,RDF5010109,Psychologie clinique,Exclusion(s),santé mentale associée au bien-être  (Voir RDF5010121 Santé mentale et bien-être)
4,RDF5010109,Psychologie clinique,Exclusion(s),traumatisme psychologique et interventions cliniques connexes  (Voir RDF5010111 Traumatisme psychologique et interventions cliniques connexes)
4,RDF5010109,Psychologie clinique,Exclusion(s),psychopathologie  (Voir RDF5010113 Psychopathologie)
4,RDF5010109,Psychologie clinique,Exclusion(s),psychologie du sport et de l'exercice  (Voir RDF5010119 Psychologie du sport et de l'exercice)
